date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-14,52.6,35.7875,458.2916666666667,29.650000000000002,23.483333333333334,54.791666666666664,0.5183333333333333,0.875,2.1083333333333334,103.04166666666667,69.25
2022-08-15,58.11666666666667,40.18333333333333,648.5833333333334,46.19583333333333,33.204166666666666,19.708333333333332,0.39208333333333334,1.0,1.3166666666666667,113.25,72.54166666666667
2022-08-16,36.40833333333333,25.120833333333334,458.2083333333333,31.90833333333333,22.191666666666666,21.083333333333332,0.27999999999999997,0.125,1.6541666666666668,97.41666666666667,67.33333333333333
2022-08-17,33.604166666666664,23.1125,362.4583333333333,27.695833333333336,18.920833333333334,30.083333333333332,0.22583333333333333,0.0,2.2104166666666667,67.375,41.791666666666664
2022-08-18,33.954166666666666,23.09583333333333,486.0833333333333,31.316666666666666,17.25,25.083333333333332,0.29791666666666666,0.0,2.11875,77.33333333333333,58.583333333333336
2022-08-19,33.77916666666667,23.15416666666667,594.2916666666666,31.099999999999998,11.487499999999999,26.875,0.225,0.0,2.0500000000000003,77.125,58.375
2022-08-20,33.75416666666667,23.1125,649.5,36.02916666666667,8.970833333333333,19.666666666666668,0.23750000000000002,0.0,1.5520833333333333,68.04166666666667,42.333333333333336
2022-08-21,26.204166666666666,17.7625,497.375,28.416666666666668,7.770833333333333,16.625,0.22958333333333333,0.0,1.4625000000000001,69.79166666666667,45.458333333333336
2022-08-22,32.94166666666667,22.358333333333334,480.375,31.925,13.85,30.291666666666668,0.24041666666666664,0.0,2.183333333333333,66.95833333333333,41.166666666666664
2022-08-23,53.00833333333333,36.137499999999996,609.4583333333334,39.94583333333333,26.1375,41.0,0.41291666666666665,0.375,2.0500000000000003,88.125,62.875
2022-08-24,32.30833333333333,22.087500000000002,421.7916666666667,32.11666666666667,18.587500000000002,30.166666666666668,0.29458333333333336,0.4166666666666667,1.9541666666666666,84.625,61.416666666666664
2022-08-25,24.95,17.087500000000002,430.0416666666667,29.358333333333334,13.833333333333334,15.625,0.2604166666666667,0.125,1.2666666666666666,66.75,41.083333333333336
2022-08-26,31.041666666666668,20.891666666666666,569.1666666666666,38.579166666666666,5.983333333333333,25.875,0.24416666666666667,0.0,1.8020833333333333,63.708333333333336,37.0
2022-08-27,48.75833333333333,33.666666666666664,643.125,44.0,8.266666666666667,53.541666666666664,0.31916666666666665,0.0,2.3583333333333334,82.45833333333333,60.208333333333336
2022-08-28,45.225,31.412499999999998,584.125,49.65833333333333,9.2125,54.583333333333336,0.34958333333333336,0.0,1.675,100.29166666666667,68.41666666666667
2022-08-29,23.920833333333334,15.929166666666667,296.0,23.72083333333333,3.5541666666666667,28.0,0.16333333333333333,0.0,2.3979166666666667,70.625,46.166666666666664
2022-08-30,28.916666666666668,19.520833333333332,348.5,26.708333333333332,4.470833333333333,29.708333333333332,0.165,0.0,2.4125,63.541666666666664,36.708333333333336
2022-08-31,48.725,33.31666666666667,442.75,34.541666666666664,12.525,44.666666666666664,0.48333333333333334,0.0,1.6812500000000001,71.0,46.25
2022-09-01,74.78750000000001,52.020833333333336,562.2916666666666,30.895833333333332,22.4875,94.33333333333333,0.7179166666666666,0.0,2.00625,124.25,76.0
2022-09-02,64.26666666666667,44.737500000000004,463.7916666666667,29.883333333333336,22.320833333333336,72.20833333333333,0.6862499999999999,0.0,1.8770833333333332,140.625,81.5
2022-09-03,39.80833333333333,27.575,428.9583333333333,33.49583333333333,20.216666666666665,28.875,0.33,0.0,2.127083333333333,100.125,68.125
2022-09-04,35.94166666666667,24.691666666666666,524.9166666666666,35.520833333333336,17.654166666666665,30.75,0.34625,0.0,1.8687500000000001,80.75,61.125
2022-09-05,24.379166666666666,16.708333333333332,461.7916666666667,29.170833333333334,9.487499999999999,19.666666666666668,0.24583333333333335,0.0,1.4833333333333334,64.54166666666667,38.916666666666664
2022-09-06,28.795833333333334,19.941666666666666,559.9583333333334,35.92916666666667,10.483333333333333,16.958333333333332,0.26791666666666664,0.0,1.2020833333333334,64.29166666666667,37.541666666666664
2022-09-07,28.2,19.583333333333332,589.7083333333334,34.47083333333333,11.208333333333334,9.5,0.17333333333333334,0.0,0.8291666666666666,69.5,44.541666666666664
2022-09-08,23.054166666666664,15.945833333333333,454.2916666666667,30.46666666666667,8.091666666666667,17.958333333333332,0.12958333333333333,0.0,1.5999999999999999,58.375,32.083333333333336
2022-09-09,34.2875,23.454166666666666,522.8333333333334,41.8125,9.25,31.208333333333332,0.3154166666666667,0.0,2.0812500000000003,65.41666666666667,40.75
