date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,t-1,t-2,t-3,t-7,t-14,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30,diff_1,diff_7,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,is_weekend,is_dry_season,target_reg_tomorrow,target_class_tomorrow
2025-03-12,20.491666666666667,17.974999999999998,503.4583333333333,20.35,7.691666666666666,57.04166666666666,0.1899999999999999,0.125,2.85625,67.33333333333333,71.70833333333333,75.5,82.29166666666667,70.625,69.33333333333333,76.50000000000003,5.362064538132882,82.29166666666667,71.70833333333333,71.0297619047619,7.71218801089189,82.29166666666667,58.91666666666666,66.58333333333333,8.284907372502191,82.29166666666667,53.79166666666666,76.31805555555556,16.756762528526135,111.875,52.958333333333336,-4.375,-3.2916666666666714,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9398560579418954,0.3415707691678556,0,1,52.29166666666666,1
2025-03-13,14.0125,12.141666666666666,425.5416666666667,17.804166666666667,6.504166666666666,54.5,0.1529166666666666,0.0,2.629166666666667,52.29166666666666,67.33333333333333,71.70833333333333,75.5,63.833333333333336,69.33333333333333,71.51388888888891,4.086804080523489,75.5,67.33333333333333,70.55952380952381,7.840269430029193,82.29166666666667,58.91666666666666,66.44047619047619,8.251015126061855,82.29166666666667,53.79166666666666,75.56388888888888,16.63035100030534,111.875,52.958333333333336,-15.041666666666671,-11.541666666666679,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9455963874271426,0.3253420847119801,0,1,55.708333333333336,1
2025-03-14,18.854166666666668,16.291666666666668,448.5,21.2375,7.375,59.625,0.1604166666666666,0.0,2.983333333333333,55.708333333333336,52.29166666666666,67.33333333333333,71.70833333333333,58.91666666666666,64.95833333333333,63.77777777777781,10.184950544434827,71.70833333333333,52.29166666666666,68.91071428571429,10.313921859650875,82.29166666666667,52.29166666666666,65.22321428571429,9.013264903213887,82.29166666666667,52.29166666666666,74.10277777777779,16.687059124047288,111.875,52.29166666666666,3.4166666666666785,-3.2083333333333215,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9510565162951535,0.30901699437494745,0,1,58.875,1
2025-03-15,20.97083333333333,17.5,422.5416666666667,20.34583333333333,7.429166666666667,57.083333333333336,0.2958333333333333,0.0,2.4250000000000003,58.875,55.708333333333336,52.29166666666666,67.33333333333333,74.33333333333333,53.79166666666666,58.444444444444464,7.8852813543352775,67.33333333333333,52.29166666666666,68.45238095238095,10.887403223073846,82.29166666666667,52.29166666666666,64.5625,9.366295816866993,82.29166666666667,52.29166666666666,72.32777777777777,15.65160276843702,111.875,52.29166666666666,3.1666666666666643,-15.458333333333329,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9562348265919056,0.29260033563334836,1,1,62.91666666666666,1
2025-03-16,20.766666666666666,18.320833333333333,462.9583333333333,22.40416666666667,7.533333333333334,63.375,0.3908333333333333,0.0,2.09375,62.91666666666666,58.875,55.708333333333336,52.29166666666666,82.29166666666667,54.125,55.62500000000003,3.292457710854962,58.875,52.29166666666666,66.24404761904762,11.062073086851086,82.29166666666667,52.29166666666666,64.92559523809524,9.008323231265091,82.29166666666667,52.29166666666666,71.02638888888889,15.062610722528067,111.875,52.29166666666666,4.041666666666657,-19.375000000000014,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9611297838723007,0.27609697309746883,1,1,78.625,1
2025-03-17,32.4,29.875,639.2083333333334,38.11666666666667,13.7125,58.833333333333336,0.455,0.7083333333333334,1.99375,78.625,62.91666666666666,58.875,55.708333333333336,75.5,59.16666666666666,59.16666666666669,3.613006980955747,62.91666666666666,55.708333333333336,63.476190476190474,8.506222434536866,75.5,52.29166666666666,65.55357142857143,8.488954433547633,82.29166666666667,52.29166666666666,69.81388888888888,14.144966194594968,111.875,52.29166666666666,15.708333333333343,3.125,1.0,6.123233995736766e-17,0.0,1.0,0.9657399376548549,0.2595117970697999,0,1,93.625,1
2025-03-18,29.816666666666663,27.854166666666668,739.625,32.3375,10.316666666666666,83.5,0.32375,0.375,2.316666666666667,93.625,78.625,62.91666666666666,58.875,71.70833333333333,64.25,66.80555555555559,10.433514153562232,78.625,58.875,63.92261904761904,9.288471939928241,78.625,52.29166666666666,66.94345238095238,8.943564258806736,82.29166666666667,52.29166666666666,68.70555555555555,11.852496490291212,102.41666666666669,52.29166666666666,15.0,21.91666666666667,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9700639218515071,0.2428497220959356,0,1,92.375,1
2025-03-19,25.775,24.954166666666666,831.625,27.433333333333334,7.425,92.20833333333331,0.43625,0.5833333333333334,2.302083333333333,92.375,93.625,78.625,62.91666666666666,67.33333333333333,70.625,78.38888888888891,15.355528169697116,93.625,62.91666666666666,67.05357142857143,14.552481538051966,93.625,52.29166666666666,69.04166666666666,11.377611938311368,93.625,52.29166666666666,69.21527777777779,12.586882365335823,102.41666666666669,52.29166666666666,-1.25,25.04166666666667,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.9741004551724205,0.22611568550828828,0,1,108.08333333333331,2
2025-03-20,36.833333333333336,35.75833333333333,804.3333333333334,37.09583333333333,13.1375,99.70833333333331,0.7470833333333333,0.9166666666666666,1.8875,108.08333333333331,92.375,93.625,78.625,52.29166666666666,63.833333333333336,88.20833333333337,8.32291014809874,93.625,78.625,70.63095238095238,17.42680507301641,93.625,52.29166666666666,70.59523809523809,12.98223050609222,93.625,52.29166666666666,70.3,13.140503068042248,102.41666666666669,52.29166666666666,15.708333333333314,55.79166666666666,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.9778483415056568,0.20931464596304847,0,1,123.66666666666669,2
2025-03-21,47.7625,45.6625,779.875,40.3,15.545833333333333,98.33333333333331,0.695,1.75,2.1125,123.66666666666669,108.08333333333331,92.375,93.625,55.708333333333336,58.91666666666666,98.02777777777779,8.730765896995528,108.08333333333331,92.375,78.60119047619047,20.1818391206304,108.08333333333331,55.708333333333336,73.75595238095238,16.1977451833026,108.08333333333331,52.29166666666666,71.52777777777777,14.84281602055956,108.08333333333331,52.29166666666666,15.583333333333371,67.95833333333334,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9813064702716093,0.19245158197082998,0,1,130.33333333333334,2
