date,target_reg_tomorrow,target_class_tomorrow
2022-11-30,106.625,2
2022-12-01,106.54166666666669,2
2022-12-02,81.41666666666667,1
2022-12-03,67.58333333333333,1
2022-12-04,88.41666666666667,1
2022-12-05,93.125,1
2022-12-06,84.66666666666667,1
2022-12-07,77.375,1
2022-12-08,98.375,1
2022-12-09,114.45833333333331,2
2022-12-10,91.45833333333331,1
2022-12-11,84.16666666666667,1
2022-12-12,85.20833333333333,1
2022-12-13,41.75,0
2022-12-14,13.541666666666666,0
2022-12-15,75.25,1
2022-12-16,118.41666666666669,2
2022-12-17,68.375,1
2022-12-18,41.54166666666666,0
2022-12-19,85.54166666666667,1
2022-12-20,143.33333333333334,2
2022-12-21,113.91666666666669,2
2022-12-22,105.25,2
2022-12-23,99.83333333333331,1
2022-12-24,122.29166666666669,2
2022-12-25,127.5,2
2022-12-26,115.75,2
2022-12-27,136.625,2
2022-12-28,124.83333333333331,2
2022-12-29,107.58333333333331,2
2022-12-30,127.91666666666669,2
2022-12-31,120.41666666666669,2
2023-01-01,86.20833333333333,1
2023-01-02,93.33333333333331,1
2023-01-03,81.45833333333333,1
2023-01-04,46.208333333333336,0
2023-01-05,49.708333333333336,0
2023-01-06,48.333333333333336,0
2023-01-07,58.79166666666666,1
2023-01-08,113.25,2
2023-01-09,60.04166666666666,1
2023-01-10,49.25,0
2023-01-11,55.0,1
2023-01-12,62.333333333333336,1
2023-01-13,96.91666666666669,1
2023-01-14,137.0,2
2023-01-15,124.16666666666669,2
2023-01-16,118.45833333333331,2
2023-01-17,127.95833333333331,2
2023-01-18,99.41666666666669,1
2023-01-19,106.54166666666669,2
2023-01-20,114.66666666666669,2
2023-01-21,108.20833333333331,2
2023-01-22,127.54166666666669,2
2023-01-23,101.16666666666669,2
2023-01-24,69.54166666666667,1
2023-01-25,92.75,1
2023-01-26,129.08333333333334,2
2023-01-27,85.58333333333333,1
2023-01-28,73.54166666666667,1
2023-01-29,99.29166666666669,1
2023-01-30,150.125,3
2023-01-31,119.41666666666669,2
2023-02-01,104.91666666666669,2
2023-02-02,54.5,1
2023-02-03,51.5,1
2023-02-04,56.66666666666666,1
2023-02-05,58.41666666666666,1
2023-02-06,58.29166666666666,1
2023-02-07,56.5,1
2023-02-08,51.54166666666666,1
2023-02-09,50.66666666666666,1
2023-02-10,54.79166666666666,1
2023-02-11,60.75,1
2023-02-12,60.5,1
2023-02-13,60.375,1
2023-02-14,57.083333333333336,1
2023-02-15,65.75,1
2023-02-16,77.25,1
2023-02-17,77.95833333333333,1
2023-02-18,90.16666666666669,1
2023-02-19,103.75,2
2023-02-20,93.125,1
2023-02-21,89.54166666666667,1
2023-02-22,83.5,1
2023-02-23,85.45833333333333,1
2023-02-24,87.45833333333333,1
2023-02-25,87.375,1
2023-02-26,70.5,1
2023-02-27,75.25,1
2023-02-28,78.79166666666667,1
2023-03-01,65.41666666666667,1
2023-03-02,72.875,1
2023-03-03,76.08333333333333,1
2023-03-04,84.83333333333333,1
2023-03-05,82.125,1
2023-03-06,84.04166666666667,1
2023-03-07,78.83333333333333,1
2023-03-08,71.16666666666667,1
2023-03-09,86.79166666666667,1
2023-03-10,77.79166666666667,1
2023-03-11,79.04166666666667,1
2023-03-12,79.95833333333333,1
2023-03-13,86.25,1
2023-03-14,66.33333333333333,1
2023-03-15,54.083333333333336,1
2023-03-16,57.04166666666666,1
2023-03-17,58.583333333333336,1
2023-03-18,56.375,1
2023-03-19,52.54166666666666,1
2023-03-20,53.875,1
2023-03-21,58.0,1
2023-03-22,58.91666666666666,1
2023-03-23,63.875,1
2023-03-24,66.75,1
2023-03-25,63.25,1
2023-03-26,55.79166666666666,1
2023-03-27,53.708333333333336,1
2023-03-28,51.25,1
2023-03-29,66.875,1
2023-03-30,61.708333333333336,1
2023-03-31,62.458333333333336,1
2023-04-01,58.91666666666666,1
2023-04-02,53.583333333333336,1
2023-04-03,58.5,1
2023-04-04,51.54166666666666,1
2023-04-05,57.29166666666666,1
2023-04-06,52.0,1
2023-04-07,45.5,0
2023-04-08,67.125,1
2023-04-09,95.41666666666669,1
2023-04-10,90.25,1
2023-04-11,107.16666666666669,2
2023-04-12,115.25,2
2023-04-13,99.0,1
2023-04-14,114.45833333333331,2
2023-04-15,123.16666666666669,2
2023-04-16,95.58333333333331,1
2023-04-17,81.08333333333333,1
2023-04-18,70.79166666666667,1
2023-04-19,87.125,1
2023-04-20,100.66666666666669,2
2023-04-21,87.20833333333333,1
2023-04-22,73.83333333333333,1
2023-04-23,61.208333333333336,1
2023-04-24,60.625,1
2023-04-25,56.16666666666666,1
2023-04-26,68.79166666666667,1
2023-04-27,62.208333333333336,1
2023-04-28,64.91666666666667,1
2023-04-29,61.375,1
